section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"M.S., Library & Information Science",University of Illinois,"Champaign, IL",NA,2006,NA,NA,NA
education,TRUE,"B.A., African/African-American Studies, Anthropology (with honors)",University of Chicago,"Chicago, IL",NA,2003,NA,NA,NA
library_positions,TRUE,Library Systems Librarian,Reed Smith LLP,"San Francisco, CA",2007,2018,Maintained relational database integrity: created local metadata standards; ensured compliance through training & documentation,Assisted European staff with metadata and taxonomy challenges,Organized the workflow of print & online resources in the US
library_positions,FALSE,Technical Services Supervisor,Reed Smith LLP,"Chicago, IL",2007,2010,Supervised a team of 13 paraprofessional staff as lead cataloger,Maintained library catalog and analyzed data for inconsistencies,NA
library_positions,TRUE,Serials/Indexing Librarian,Illinois College of Optometry,"Chicago, IL",2006,2007,"Quickly learned optometric vocabulary in order to index ~12,000 articles per year into a proprietary subject database (VisionCite)",NA,NA
industry_positions,TRUE,Information Architect & Digital Librarian,RStudio,"Davis, CA",2019,Present,Design technology solutions to improve internal/external discoverability of information,"Partner with stakeholders to design and implement information policies, standards, and procedures",Collect and analyze usage data to inform system acquisition and design
industry_positions,TRUE,Content Manager,Singularity University,"Davis, CA",2018,2019,"Organized & maintained digital asset management database of ~150,000 assets: normalized & standardized metadata, created/maintained taxonomies, curated & strategized timely delivery to partners",Designed & implemented Google Drive doument management software & delivery portal,"Curated user content and redesigned WordPress ""intranet"" site"
by_me_press,TRUE,"""Managing technical services long distance: tips for successful collection management.""","AALL Spectrum, 20 (6): 29-34",N/A,2017,2017,NA,NA,NA
by_me_press,FALSE,"""Collection management 2016: from anecdotal to analytic.""","On Firmer Ground blog, 13 Jan 2016",N/A,2016,2016,NA,NA,NA
by_me_press,FALSE,"""Pressure points in vendor relationships: tips for working with outsourced vendors.""",CRIV Sheet 37 (2): 4-5,N/A,2015,2015,NA,NA,NA
by_me_press,FALSE,[Ten Quick Tips for Making Your Stuff Findable](https://education.rstudio.com/blog/2019/12/making-your-stuff-findable/),RStudio Education Blog,N/A,2019,2019,NA,NA,NA
by_me_press,TRUE,[Machine Learning: My Journey into AI](https://nocall.org/wp-content/uploads/2020/02/JanFeb2020.pdf),NOCALL News,N/A,2020,2020,NA,NA,NA
by_me_press,TRUE,[Ten quick tips for making things findable](https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1008469),PLOS Computational Biology (31 Dec 2020),N/A,2020,2020,NA,NA,NA
academic_articles,FALSE,Asymmetric Linkage Disequilibrium: Tools for Dissecting Multiallelic LD,Journal of Human Immunology,N/A,2015,2015,"Authored with Richard Single, Vanja Paunic, Mark Albrecht, and Martin Maiers.",,NA
academic_articles,FALSE,Declines of Mysis diluviana in the Great Lakes,Journal of Great Lakes Research,N/A,2015,2015,Authored with Peter Euclide and Jason Stockwell.,NA,NA
academic_articles,FALSE,[Continuous Classification using Deep Neural Networks](http://nickstrayer.me/qualifying_exam/),Vanderbilt Biostatistics Qualification Exam,N/A,2017,2017,Review of methods for classifying continuous data streams using neural networks,Successfully met qualifying examination standards,NA
